apn,address
63024120,Illinois St
63015100,Georgetown St
63014190,Hunter St
63023190,Stevens Ave
63014050,Georgetown St
63041060,Fordham St
63014130,Hunter St
63013310,Purdue Ave
63031040,Purdue Ave
63031100,Purdue Ave
63044180,Gonzaga St
63044130,Illinois St
63043070,Gonzaga St
63045050,Illinois St
63032070,Fordham St
63012030,Xavier St
63023230,Stevens Ave
63012050,Xavier St
63022120,Fordham St
63014150,Hunter St
63013290,Hunter St
63015170,Georgetown St
63044050,Illinois St
63044260,Gonzaga St
63041080,Fordham St
63041100,Fordham St
63044150,Illinois St
63032050,Fordham St
63043150,Fordham St
63043130,Fordham St
63045070,Illinois St
63047070,Illinois St
63061120,Kavanaugh Dr
63061130,Kavanaugh Dr
63061140,Kavanaugh Dr
63085030,Fordham St
63085260,Baylor St
63062170,Kavanaugh Dr
63088080,Illinois St
63073250,Farrington Way
62111020,Alberni St
63062330,Hazelwood Way
62113100,Alberni St
63073120,Emmett Way
62116230,Alberni St
63074050,Emmett Way
63101010,Gloria Way
63101100,Hazelwood Way
63102030,Hazelwood Way
62117240,Jervis Ave
63103010,Emmett Way
62118250,Laurel Ave
63103070,Ursula Way
63114040,Illinois St
63045100,Gonzaga St
63043100,Gonzaga St
63089010,Illinois St
63061150,Kavanaugh Dr
63061160,Kavanaugh Dr
63062100,Kavanaugh Dr
63089080,Illinois St
63073280,Farrington Way
63063030,Gloria Way
63063180,Hazelwood Way
63083080,Baylor St
63083230,Annapolis St
63063150,Hazelwood Way
63063060,Gloria Way
63073070,Emmett Way
63088110,Illinois St
62113010,Westminster Ave
63085110,Fordham St
63085180,Baylor St
63082130,Annapolis St
63083130,Baylor St
63083180,Annapolis St
62131040,Alberni St
63088140,Michigan Ave
63085140,Fordham St
62114040,Saratoga Ave
62132030,Alberni St
62116040,Jervis Ave
63102180,Gloria Way
63102170,Ursula Way
62133340,Poplar Ave
63045120,Gonzaga St
63047050,Illinois St
63043080,Gonzaga St
63032160,Fordham St
63089030,Illinois St
63061170,Kavanaugh Dr
63061180,Kavanaugh Dr
63088050,Illinois St
63062090,Kavanaugh Dr
63062080,Kavanaugh Dr
63085060,Fordham St
63085230,Baylor St
63062290,Hazelwood Way
63082080,Annapolis St
63062030,Kirkwood Ct
63072260,Gloria Way
63072050,Farrington Way
63074100,Emmett Way
63062320,Hazelwood Way
62111030,Alberni St
63089130,Illinois St
63073230,Farrington Way
62113110,Alberni St
63072210,Gloria Way
63072100,Farrington Way
63073180,Farrington Way
63085150,Michigan Ave
63082150,Annapolis St
62114020,Saratoga Ave
62116010,Alberni St
62118280,Laurel Ave
63101040,Gloria Way
63101050,Ursula Way
62116190,Westminster Ave
63101060,Ursula Way
63101070,Hazelwood Way
62116170,Westminster Ave
62116060,Jervis Ave
63032140,Fordham St
63061190,Kavanaugh Dr
63061200,Kavanaugh Dr
63061210,Kavanaugh Dr
63082050,Annapolis St
63062230,Gertrude Ct
63062050,Kirkwood Ct
62113030,Alberni St
63062350,Hazelwood Way
62115010,Saratoga Ave
63083150,Baylor St
63083160,Michigan Ave
62131050,Alberni St
62116200,Westminster Ave
62132040,Alberni St
62118020,Menalto Ave
63103080,Ursula Way
63112030,Gonzaga St
63112220,Fordham St
62132310,Menalto Ave
63084030,Fordham St
63086020,Notre Dame Ave
63087010,Gonzaga St
63086010,Notre Dame Ave
63061220,Kavanaugh Dr
63061230,Kavanaugh Dr
63074160,Kavanaugh Dr
63083050,Baylor St
63083260,Annapolis St
63072290,Gloria Way
63072020,Farrington Way
63073040,Emmett Way
63074130,Emmett Way
63062210,Gertrude Ct
63082100,Annapolis St
63083100,Baylor St
63083210,Annapolis St
63073090,Emmett Way
62113120,Alberni St
63089180,Illinois St
63072190,Gloria Way
63072120,Farrington Way
63114010,Illinois St
62115070,Westminster Ave
63074030,Emmett Way
62115210,Saratoga Ave
62115090,Westminster Ave
62117030,Laurel Ave
63113030,Illinois St
63113200,Gonzaga St
63103090,Ursula Way
63087020,Notre Dame Ave
63061240,Kavanaugh Dr
63089050,Illinois St
63061250,Kavanaugh Dr
63089100,Illinois St
63085080,Fordham St
63085210,Baylor St
63088100,Illinois St
63072240,Gloria Way
63072070,Farrington Way
63063080,Gloria Way
63074080,Emmett Way
63063130,Hazelwood Way
63089150,Illinois St
62113040,Alberni St
62113130,Alberni St
62131060,Alberni St
63101030,Gloria Way
63101080,Hazelwood Way
63073140,Ursula Way
63073150,Ursula Way
62118010,Menalto Ave
63102050,Hazelwood Way
62114060,Saratoga Ave
62115110,Westminster Ave
63103100,Ursula Way
63061260,Kavanaugh Dr
63088240,Fordham St
63073010,Kavanaugh Dr
63089070,Illinois St
63073290,Kavanaugh Dr
63088040,Illinois St
63063020,Gloria Way
63063190,Hazelwood Way
63073260,Farrington Way
63088070,Illinois St
63062020,Kirkwood Ct
63083070,Baylor St
63082070,Annapolis St
63083240,Annapolis St
62112010,Saratoga Ave
63073210,Farrington Way
62115030,Alberni St
62113140,Alberni St
63102020,Hazelwood Way
63132120,Bay Rd
63111130,Fordham St
63045060,Illinois St
63071330,Kavanaugh Dr
63082010,Notre Dame Ave
63088270,Gonzaga St
63085020,Fordham St
63088320,Gonzaga St
63088020,Illinois St
63085270,Baylor St
63083020,Baylor St
63083290,Annapolis St
63082020,Annapolis St
63088300,Gonzaga St
63088290,Gonzaga St
63088220,Fordham St
63062280,Hazelwood Way
63062120,Clarence Ct
63063050,Gloria Way
63063160,Hazelwood Way
62113050,Alberni St
63082120,Annapolis St
63083120,Baylor St
63083190,Annapolis St
63088130,Illinois St
63074060,Emmett Way
63073110,Emmett Way
63063100,Gloria Way
63085130,Fordham St
63063110,Hazelwood Way
63085160,Baylor St
62131070,Alberni St
62117250,Alberni St
63111120,Fordham St
62115190,Saratoga Ave
63103110,Ursula Way
