landlockedAPNs
063341610
063015020
063013340
063044260
063085130
062117200
063221270
062122310
062124130
062117190
063171200
063253230
062134170
063221260
062222170
063253240
063262180
063362560
063361480
063201310
063361490
063341100
063331250
063302370
063201300
063341340
063341320
063341330
063195030
063151030
062221110
063341430
063341440
063171080
063361500
063344130
063344120
063185270
063371430
063442570
063630010
063373160
063154050
063442590
063384050
063402390
063442620
063351760
063351770
063351390
063351510
063351500
063351480
063351410
063351420
063352340
063185280
063185320
063352320
063352330
063663180
063673070
063664030
063664050
063664070
063664090
063673170
063673180
063671040
063671060
063671100
063672050
063672070
063672110
063540060
063563020
063540070
063531210
063540080
063540090
063374490
063374480
063371520
063371460
063371510
063371500
063253650
063253640
063253630
063253620
063271510
063271530
063271520
063363590
063363600
063710060
063710050
063710070
063710040
063710030
063710010
063710020
063271570
063271560
063271550
