x,y
6088888.3320386177,1994297.0048188232
6088925.4778041998,1994296.3581886755
6088924.7236851258,1994253.0360036378
6088887.5778603116,1994253.6826348184
6088869.5660000127,1994248.8560000029
6088969.5630000085,1994249.6080000065
6088969.3339999998,1994294.6689999939
6088969.2960000103,1994302.0189999985
6088869.3009999944,1994300.7799999823
6088888.3320386177,1994297.0048188232
