"APN"|"valid"|"geometry"
"062113080"|TRUE|list(c(6082671.1407071, 6082693.2736581, 6082733.60815901, 6082715.84449088, 6082711.034276, 6082671.1407071, 1999185.86619477, 1999299.76131058, 1999291.96993928, 1999200.5589458, 1999198.97797695, 1999185.86619477), c(6082711.034276, 6082719.60128295, 6082689.78302488, 6082681.21598262, 6082711.034276, 1999198.97797695, 1999232.87512027, 1999240.41125949, 1999206.51412552, 1999198.97797695))
"062113090"|TRUE|list(c(6082722.29431127, 6082725.41161785, 6082753.75712838, 6082722.29431127, 1999181.32725637, 1999197.36876814, 1999191.66800076, 1999181.32725637))
"062113090"|TRUE|list(c(6082731.77426039, 6082743.42665933, 6082782.22915778, 6082765.30009445, 6082753.75712838, 6082760.3331038, 6082731.77426039, 1999230.11062481, 1999290.07331691, 1999282.57793291, 1999195.46177616, 1999191.66800076, 1999224.36721334, 1999230.11062481))
"062113100"|TRUE|list(c(6082770.07241876, 6082792.0476691, 6082831.50516358, 6082813.80417985, 6082810.02882097, 6082770.07241876, 1999167.59777152, 1999280.68136719, 1999273.0598794, 1999181.97068365, 1999180.72987148, 1999167.59777152), c(6082810.02882097, 6082819.56113679, 6082802.47501087, 6082799.29746285, 6082782.21133143, 6082775.85650255, 6082810.02882097, 1999180.72987148, 1999228.12779345, 1999231.56420618, 1999215.76453806, 1999219.20096354, 1999187.60199151, 1999180.72987148))
"062113110"|TRUE|list(c(6082829.82033358, 6082841.32367694, 6082879.17417137, 6082865.70082764, 6082856.23008866, 6082858.94372073, 6082829.82033358, 1999211.96716254, 1999271.16332425, 1999263.8519195, 1999194.51814326, 1999191.40549038, 1999206.85037897, 1999211.96716254))
"062113120"|TRUE|list(c(6082866.89728838, 6082888.99267298, 6082930.70917535, 6082913.13258555, 6082907.88397718, 6082866.89728838, 1999148.25253772, 1999261.95530385, 1999253.89693999, 1999163.4478749, 1999161.72290764, 1999148.25253772), c(6082907.88397718, 6082920.13360084, 6082903.3141167, 6082900.25177728, 6082883.4322816, 6082874.24493334, 6082907.88397718, 1999161.72290764, 1999222.63369399, 1999226.0165437, 1999210.78875611, 1999214.17125406, 1999168.4882685, 1999161.72290764))
"062113130"|TRUE|list(c(6082919.28916492, 6082922.44353504, 6082951.12748625, 6082961.56524781, 6082932.54232136, 6082940.52766362, 6082977.62918475, 6082960.4096256, 6082919.28916492, 1999142.70702119, 1999158.93939798, 1999153.17063987, 1999205.070828, 1999210.90771443, 1999252.00025574, 1999244.83298832, 1999156.22120167, 1999142.70702119))
"062113140"|TRUE|list(c(6082970.00338816, 6082971.23546464, 6082982.43943029, 6082985.70370582, 6082998.49940113, 6083008.29190681, 6082983.86820786, 6082987.44767242, 6083027.02819875, 6083014.5191541, 6082970.00338816, 1999153.16807971, 1999159.50834067, 1999157.25515445, 1999173.48557587, 1999170.91223635, 1999219.60424113, 1999224.5163898, 1999242.93630099, 1999235.29051898, 1999167.79807698, 1999153.16807971))
"062113150"|TRUE|list(c(6082891.72929924, 6083030.06425526, 6083019.15132005, 6083020.53919929, 6083017.71160065, 6082891.72929924, 1999154.48409171, 1999199.94815057, 1999145.68451153, 1999145.40539001, 1999130.1491061, 1999154.48409171))
"062113150"|TRUE|list(c(6083033.96488647, 6083036.84698705, 6083096.67151318, 6083065.32501721, 6083033.96488647, 1999217.84356887, 1999233.39391757, 1999221.83875857, 1999211.53667022, 1999217.84356887))
